value,label
action,Action
adventure,Adventure
animation,Animation
comedy,Comedy
concert,Concert
crime,Crime
documentary,Documentary
drama,Drama
epic,Epic
family,Family
fantasy,Fantasy
historical,Historical
horror,Horror
music,Music
musical,Musical
period,Period
romance,Romance
romantic,Romantic
sci-fi,Sci-Fi
sports,Sports
thriller,Thriller
war,War
western,Western
